author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,house_material_type,year_construction
AFI Development,developer,https://odintsovo.cian.ru/sale/flat/308938667/,Одинцово,sale,flat,2,24,3,51.93,12960949.0,,,,Одинцово,Одинбург,,
ID 82171081,realtor,https://odintsovo.cian.ru/sale/flat/308160773/,Одинцово,sale,flat,19,25,2,62.56,12000000.0,,,6,Одинцово,Одинград квартал Семейный ЖК,,
Татьяна Ростова,realtor,https://odintsovo.cian.ru/sale/flat/303136193/,Одинцово,sale,flat,5,9,1,31.0,6500000.0,,Можайское шоссе,24,Одинцово,,,
Вектор,developer,https://odintsovo.cian.ru/sale/flat/305609586/,Одинцово,sale,flat,2,19,1,40.0,8610000.0,,,,Одинцово,Союзный ЖК,,
Ирина Василевская,realtor,https://odintsovo.cian.ru/sale/flat/302359205/,Одинцово,sale,flat,7,17,3,74.8,12300000.0,, Чистяковой,2,Сколково,,,
Бест офис на Таганской,real_estate_agent,https://odintsovo.cian.ru/sale/flat/308294358/,Одинцово,sale,flat,22,24,2,54.0,9190000.0,,Северная ,36,Одинцово,Единый Стандарт,,
Вектор,developer,https://odintsovo.cian.ru/sale/flat/306946484/,Одинцово,sale,flat,22,25,3,88.0,16935000.0,,,,Одинцово,Союзный ЖК,,
NIKA ESTATE,real_estate_agent,https://odintsovo.cian.ru/sale/flat/301706311/,Одинцово,sale,flat,15,25,3,89.0,22100000.0,,,5А мкр,Баковка,,,
Любовь Рублева,realtor,https://odintsovo.cian.ru/sale/flat/308278765/,Одинцово,sale,flat,4,12,1,39.5,6500000.0,,Молодежная ,9,Одинцово,,,
AFI Development,developer,https://odintsovo.cian.ru/sale/flat/308938542/,Одинцово,sale,flat,2,24,4,82.78,,,,,Одинцово,Одинбург,,
Villagio Realty,real_estate_agent,https://odintsovo.cian.ru/sale/flat/308633315/,Одинцово,sale,flat,14,17,3,92.3,21900000.0,, Сколковская,7Б,Сколково,Сколковский,,
ГОРОДА,real_estate_agent,https://odintsovo.cian.ru/sale/flat/308799859/,Одинцово,sale,flat,1,2,1,30.0,6000000.0,,Солнечная ,10,Одинцово,,,
AFI Development,developer,https://odintsovo.cian.ru/sale/flat/301311054/,Одинцово,sale,flat,2,20,1,46.99,,,,,Одинцово,Одинбург ЖК,,
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://odintsovo.cian.ru/sale/flat/304858155/,Одинцово,sale,flat,10,24,1,39.0,7200000.0,,Северная ,5к2,Одинцово,Одинбург,,
Миэль офис в Одинцово,real_estate_agent,https://odintsovo.cian.ru/sale/flat/307392702/,Одинцово,sale,flat,4,21,1,47.0,8300000.0,,Сосновая ,10,Одинцово,,,
AFI Development,developer,https://odintsovo.cian.ru/sale/flat/305702304/,Одинцово,sale,flat,14,24,3,64.2,15918874.0,,,,Одинцово,Одинбург,,
ХОРЕКА ИНВЕСТ,real_estate_agent,https://odintsovo.cian.ru/sale/flat/308253115/,Одинцово,sale,flat,3,17,1,22.58,5120918.0,, Чистяковой,8с2,Сколково,Гостиничный комплекс Аметист,,
ИНФИНИТИ,real_estate_agent,https://odintsovo.cian.ru/sale/flat/306555126/,Одинцово,sale,flat,2,8,1,33.6,5700000.0,,Баковская ,2,Одинцово,,,
AFI Development,developer,https://odintsovo.cian.ru/sale/flat/301789496/,Одинцово,sale,flat,6,24,3,90.87,21115008.0,,,,Одинцово,Одинбург ЖК,,
INGRAD,developer,https://odintsovo.cian.ru/sale/flat/308823795/,Одинцово,sale,flat,4,24,1,35.76,9692102.0,,,6,Одинцово,Одинград квартал Семейный ЖК,,
АЯКС,real_estate_agent,https://odintsovo.cian.ru/sale/flat/306301461/,Одинцово,sale,flat,14,24,2,53.8,9100000.0,,Западная ,10,Одинцово,Одинград. Семейный квартал,,
Ольга Богатырева,realtor,https://odintsovo.cian.ru/sale/flat/307093207/,Одинцово,sale,flat,7,17,1,42.0,7300000.0,, Кутузовская,4,Сколково,,,
АльфаСтройИнвест,developer,https://odintsovo.cian.ru/sale/flat/304990177/,Одинцово,sale,flat,3,17,3,45.52,9172280.0,,,,Мичуринец,Каштановая Роща ЖК,,
АЯКС,real_estate_agent,https://odintsovo.cian.ru/sale/flat/306301457/,Одинцово,sale,flat,21,24,2,50.79,8900000.0,,Западная ,10с4,Одинцово,Одинград. Семейный квартал,,
ID 59109238,unknown,https://odintsovo.cian.ru/sale/flat/306828238/,Одинцово,sale,flat,2,23,1,41.2,7850000.0,, Чистяковой,2,Сколково,,,
АльфаСтройИнвест,developer,https://odintsovo.cian.ru/sale/flat/304990141/,Одинцово,sale,flat,16,17,3,66.0,13266000.0,,,,Мичуринец,Каштановая Роща ЖК,,
Этажи Москва,real_estate_agent,https://odintsovo.cian.ru/sale/flat/303118570/,Одинцово,sale,flat,20,25,3,72.91,14500000.0,,,5,Одинцово,Одинград квартал Семейный ЖК,,
ID 89094968,unknown,https://odintsovo.cian.ru/sale/flat/307744499/,Одинцово,sale,flat,7,25,1,30.7,5700000.0,,,3,Одинцово,Одинград. Семейный квартал,,
АльфаСтройИнвест,developer,https://odintsovo.cian.ru/sale/flat/308689920/,Одинцово,sale,flat,12,17,2,38.2,7735500.0,,,,Мичуринец,Каштановая Роща ЖК,,
ID 118651243,homeowner,https://odintsovo.cian.ru/sale/flat/304230689/,Одинцово,sale,flat,22,22,2,55.6,8599000.0,, Чистяковой,67,Сколково,Новая Трехгорка,,
Евгений Горновой,realtor,https://odintsovo.cian.ru/sale/flat/308589432/,Одинцово,sale,flat,3,14,2,37.5,7100000.0,,Северная ,14,Одинцово,,,
Вектор,developer,https://odintsovo.cian.ru/sale/flat/305609495/,Одинцово,sale,flat,3,19,1,47.0,9748000.0,,,,Одинцово,Союзный ЖК,,
АБ Риэлти,real_estate_agent,https://odintsovo.cian.ru/sale/flat/304394134/,Одинцово,sale,flat,24,27,3,78.5,14450000.0,, Верхне-Пролетарская,7,Одинцово,,,
Александр Тихомиров,realtor,https://odintsovo.cian.ru/sale/flat/306350440/,Одинцово,sale,flat,20,25,1,39.2,7700000.0,,Солнечная ,17а,Одинцово,,,
Вектор,developer,https://odintsovo.cian.ru/sale/flat/305609592/,Одинцово,sale,flat,8,19,3,92.1,17180000.0,,,,Одинцово,Союзный ЖК,,
Bellmarc,real_estate_agent,https://odintsovo.cian.ru/sale/flat/303493679/,Одинцово,sale,flat,5,5,2,44.8,6500000.0,,Можайское шоссе,21,Одинцово,,,
Виктория Ринейская,realtor,https://odintsovo.cian.ru/sale/flat/303462602/,Одинцово,sale,flat,10,12,1,35.5,7200000.0,,Сосновая ,12,Одинцово,,,
ПИК,developer,https://odintsovo.cian.ru/sale/flat/305237166/,Одинцово,sale,flat,15,25,1,32.4,7725844.0,,,1.26.2,Внуково,Одинцово-1,,
МИЦ-Столичный ипотечный центр недвижимости,real_estate_agent,https://odintsovo.cian.ru/sale/flat/306981913/,Одинцово,sale,flat,7,14,2,52.5,9000000.0,,Северная ,24,Одинцово,,,
ID 95976486,homeowner,https://odintsovo.cian.ru/sale/flat/307386197/,Одинцово,sale,flat,7,25,4,84.1,19500000.0,, Сколковская,5А,Сколково,Сколковский,,
ПИК,developer,https://odintsovo.cian.ru/sale/flat/303967682/,Одинцово,sale,flat,19,25,3,79.8,15755632.0,,,1.26.2,Внуково,Одинцово-1,,
Самолет Плюс Москва ЦАО,real_estate_agent,https://odintsovo.cian.ru/sale/flat/307546661/,Одинцово,sale,flat,6,24,2,72.0,17890000.0,,Можайское шоссе,100А,Баковка,Кварта,,
SENATOR,real_estate_agent,https://odintsovo.cian.ru/sale/flat/298703559/,Одинцово,sale,flat,3,5,3,50.4,8000000.0,,Солнечная ,11,Одинцово,,,
INGRAD,developer,https://odintsovo.cian.ru/sale/flat/304073841/,Одинцово,sale,flat,17,24,2,41.55,10018127.0,,,10,Одинцово,Одинград. Семейный квартал,,
EuroDoma,real_estate_agent,https://odintsovo.cian.ru/sale/flat/307141082/,Одинцово,sale,flat,22,25,1,38.0,7999000.0,, Рябиновая,3,Внуково,Одинцово-1,,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://odintsovo.cian.ru/sale/flat/308007903/,Одинцово,sale,flat,11,24,1,44.7,6450000.0,, Чистяковой,65,Сколково,Новая Трехгорка,,
ПИК,developer,https://odintsovo.cian.ru/sale/flat/308817416/,Одинцово,sale,flat,5,16,1,42.9,7943492.0,,,1.26.1,Внуково,Одинцово-1,,
Сергей Новиков,realtor,https://elektrostal.cian.ru/sale/flat/301999975/,Электросталь,sale,flat,5,5,3,56.8,4950000.0,мкр. Южный, Победы,10к3,,,,
ID 45728362,homeowner,https://elektrostal.cian.ru/sale/flat/307967189/,Электросталь,sale,flat,6,9,1,33.3,4950000.0,мкр. Южный, Победы,18к4,,,,
Ирина Кусайко,realtor,https://elektrostal.cian.ru/sale/flat/308610877/,Электросталь,sale,flat,3,9,3,64.0,6000000.0,мкр. Юго-Западный, Ялагина,16,,,,
Центральное,real_estate_agent,https://elektrostal.cian.ru/sale/flat/305278914/,Электросталь,sale,flat,9,10,2,49.8,6950000.0,мкр. Северный,Ногинское шоссе,12,,,,
Самолет Плюс  Павловский Посад,real_estate_agent,https://elektrostal.cian.ru/sale/flat/307134296/,Электросталь,sale,flat,1,5,2,54.6,5040000.0,мкр. Северный,Фрязевское шоссе,106,,,,
РОСБАНК,real_estate_agent,https://elektrostal.cian.ru/sale/flat/304812607/,Электросталь,sale,flat,5,9,2,61.4,4200000.0,мкр. Восточный,Комсомольская ,1,,Янтарь,,
Ольга Воронина,realtor,https://elektrostal.cian.ru/sale/flat/308181913/,Электросталь,sale,flat,17,17,3,74.1,11000000.0,мкр. Юго-Западный, Ялагина,5,,,,
Сергей Новиков,realtor,https://elektrostal.cian.ru/sale/flat/307292263/,Электросталь,sale,flat,1,3,2,44.4,3550000.0,мкр. Восточный, Карла Маркса,53,,,,
ID 4455298,homeowner,https://elektrostal.cian.ru/sale/flat/308848190/,Электросталь,sale,flat,5,5,2,42.0,3900000.0,мкр. Центральный, 8 Марта,58,,,,
ID 123371911,homeowner,https://elektrostal.cian.ru/sale/flat/308689658/,Электросталь,sale,flat,3,5,2,48.5,5545000.0,мкр. Южный, Тевосяна,42а,,,,
ЛИДЕР,real_estate_agent,https://elektrostal.cian.ru/sale/flat/308781241/,Электросталь,sale,flat,5,5,1,33.0,4450000.0,мкр. Юго-Западный,Западная ,12а,,,,
Капитал-недвижимость,real_estate_agent,https://elektrostal.cian.ru/sale/flat/304322264/,Электросталь,sale,flat,2,9,3,68.0,6550000.0,мкр. Юго-Западный, Ялагина,8,,,,
ID 86071715,homeowner,https://elektrostal.cian.ru/sale/flat/308204400/,Электросталь,sale,flat,3,5,2,44.5,4500000.0,мкр. Восточный, Карла Маркса,47а,,,,
ИНВЕСТ НЕДВИЖИМОСТЬ,real_estate_agent,https://elektrostal.cian.ru/sale/flat/303023872/,Электросталь,sale,flat,6,13,2,46.5,8200000.0,мкр. Юго-Западный,бульвар 60-летия Победы,14,,Новое Ялагино,,
ЭТАЖИ Электросталь,real_estate_agent,https://elektrostal.cian.ru/sale/flat/308547010/,Электросталь,sale,flat,4,5,2,43.5,3800000.0,мкр. Южный, Мира,25,,,,
PROнедвижимость,real_estate_agent,https://elektrostal.cian.ru/sale/flat/303123329/,Электросталь,sale,flat,1,5,1,30.8,3250000.0,мкр. Северный,проспект Ленина,17,,,,
ID 95944690,homeowner,https://elektrostal.cian.ru/sale/flat/306840796/,Электросталь,sale,flat,7,17,1,38.4,4550000.0,мкр. Северный,Ногинское шоссе,8,,,,
ID 15912772,realtor,https://elektrostal.cian.ru/sale/flat/288299703/,Электросталь,sale,flat,1,9,1,34.0,2990000.0,мкр. Восточный,Спортивная ,47,,,,
Пирамида,real_estate_agent,https://elektrostal.cian.ru/sale/flat/297422350/,Электросталь,sale,flat,8,9,3,84.4,8550000.0,мкр. Северный, Второва,8к1,,,,
Николай Светлый,realtor,https://elektrostal.cian.ru/sale/flat/301648982/,Электросталь,sale,flat,4,10,3,62.0,6200000.0,мкр. Северный,проспект Ленина,1а,,,,
Самолет Плюс Подмосковье,real_estate_agent,https://elektrostal.cian.ru/sale/flat/308851562/,Электросталь,sale,flat,4,5,1,30.0,3150000.0,мкр. Северный, Пушкина,27,,,,
Сергей Шныгин,realtor,https://elektrostal.cian.ru/sale/flat/307805291/,Электросталь,sale,flat,4,4,2,43.5,3400000.0,мкр. Северный,проспект Ленина,4а,,,,
Александр Кириллов,realtor,https://elektrostal.cian.ru/sale/flat/308076561/,Электросталь,sale,flat,12,18,2,72.0,12900000.0,мкр. Юго-Западный, Ялагина,15А,,Новое Ялагино,,
Самолет Плюс,real_estate_agent,https://elektrostal.cian.ru/sale/flat/307130245/,Электросталь,sale,flat,3,9,4,64.6,7700000.0,,Первомайская ,06,Новокосино,,,
